entity_id,entity_label,relation_id,Question
Q12439,Detroit,R19,who is a musician born in detroit
Q6817891,Mera Shikar,P364,what is the language in which mera shikar was filmed in
Q1297,Chicago,R276,Whats the name of a battle that happened in chicago
Q193592,midfielder,R413,what player plays the position midfielder
Q6849115,Mike Twellman,P413,what is the position that  mike twellman plays
Q842256,musical film,R136,list some musical films
Q7273,Ellen Swallow Richards,P27,what is ellen swallow richards nationality
Q247643,Elementary,P364,What language is the show elementary broadcast in
Q6135854,James Hendry,P21,what is the gender of james hendry
Q2405480,voice actor,R106,who was a voice actor
Q145410,1893 Jakoba,P196,What is a member of the 1893 jakoba asteroid group
Q4921907,Black Star at the Point of Darkness,P175,What artist includes black star at the point of darkness in his work
Q1698,Serge Gainsbourg,R175,Name an album by serge gainsbourg
Q237514,Laura Ingalls Wilder,R50,what is a book by laura ingalls wilder 
Q388408,Endless Love,P344,Who was the cinematographer for the film endless love
Q93204,documentary film,R136,what is a documentary film about the media
Q3643721,Brandon Reilly,P136,what musical genre does  brandon reilly create
Q7063408,Notre Dame Fighting Irish men basketball,P641,What sport does notre dame fighting irish men basketball play
Q71277,Rudi Ball,P19,where in germany was rudi ball born in
Q101625,Marrakesh,P421,what time zone is marrakech in
Q5667368,Harry Blackstone Jr,P27,which country does harry blackstone jr come from
Q734861,Valeria Richards,P21,what is valeria richards gender
Q55442,Liliana Cavani,R57,what movie did liliana cavani direct
Q3986646,The Dog Island,P136,What kind of video game is the dog island
Q7749083,The Loves of the Gods,P170,who created the loves of the gods
Q36322,Jane Austen,R50,What did jane austen write
Q234472,Estella Warren,P27,What is the nationality of estella warren
Q43,Turkey,R17,what is a second level division of turkey
Q710600,Eugenio Sales,P21,what gender does eugenio sales identify as 
Q1297,Chicago,R19,Name a person born in chicago
Q668083,Seven Wishes,P175,who is the artist on seven wishes
Q154581,Gangs of New York,P86,who wrote the music for gangs of new york
Q1348496,Sophie Merry,P21,what is the gender of sophie merry
Q6836909,Michelle Ashford,R58,what is an episode written by michelle ashford
Q56094,Francis Ford Coppola,R86,what movies has francis ford coppola contributed music to
Q1120576,Communist Party of Britain,P1142,which is the main ideology of the communist party of britain
Q222052,center,R413,what former basketball played the center (basketball) position
Q1219013,Thunderbolt and Lightfoot,P58,Who wrote the film thunderbolt and lightfoot
Q6249503,John Morris Russell,P19,where in the united states was john morris russell born
Q2023740,Imam Mustafayev,P21,what is imam mustafayev gender
Q10280325,Fausto Fawcett,P21,what is fausto fawcett gender
Q154194,Generation Kill,P136,what type of film is generation kill
Q1075868,Chokoloskee,P131,What county has jurisdiction over chokoloskee florida
Q6221698,John Berry,P27,which country is john berry from 
Q13636457,Home,P136,What kind of book is home
Q5174096,Cosmic Ray,P495,what country is cosmic ray from
Q29172,Zou Department,P150,what is the administrative child of zou
Q4707525,Alan Pierson,P21,What is Alan Pierson gender
Q66832,Franz Roh,P27,What was the nationality of  franz roh
Q336167,Huron County,R131,what is a city located in huron county
Q93204,documentary film,R136,What is an example of a documentary film
Q580,Lodz,R19,What actor was born in lodz
Q1090769,8668 Satomimura,P196,what member of asteroid group is 8668 satomimura a part of 
Q5363152,Elizabeth Malecki,P21,What gender is elizabeth malecki
Q974466,James Gillespie,P119,where was  james gillespie buried
Q1342,Pittsburgh,R19,who was born in pittsburgh
Q17361420,Lanie Balcom,P21,lannie balcom self-identifies as which gender 
Q7351133,Robert Williams,P413,which position does robert williams play in american football
Q6607,guitar,R1303,who is an instrumentalist that plays the guitar
Q7723204,The City in the Autumn Stars,P50,Who wrote the book the city in the autumn stars
Q193752,John of Gaunt,R40,Who was a parent of john of gaunt 1st duke of lancaster
Q5106113,Chris Cash,P27,chris cash is what nationality
Q2377261,The Law Is the Law,P364,in what language is the the law is the law film spoken
Q718562,6945 Dahlgren,P61,who discovered 6945 dahlgren
Q5497332,Frederick Baldwin Adams,P27,Where is frederick baldwin adams from
Q133032,Hungarians,R172,Who a hungarian model
Q16223459,Joshua Smith,P21,what is joshua smith gender
Q7294392,Rapture Ruckus,P264,What label is rapture ruckus  signed to
Q3728410,Rob Schmidt,R57,Which film did rob schmidt direct
Q13156,Montilla,R19,Name a person born in montilla
Q724154,Mr Hankey Christmas Classics,P57,who was the director of mr hankey christmas classics 
Q98643,Ottilie Assing,P27,Where is ottilie assing from
Q189059,Mytilene,R19,Name someone who was born in mytilene
Q130232,drama film,R136,what is a film in the genre drama
Q7194357,Pilot,P179,Which series has a pilot episode
Q200092,horror film,R136,what is a horror film
Q7605291,Stealing a Nation,P495,what country does the film stealing a nation take place in
Q5042233,Carlos Johnson,P136,which type of music genre does carlos johnson play in
Q786545,Thomas Sully,P19,Which town was thomas sully born 
Q3194914,Kelly Shoppach,P413,What position does kelly shoppach play in baseball
Q568123,Dracula,P136,what kind of movie is dracula
Q82955,politician,R106,what is politician is founder and chairperson of Queens University Bangladesh
Q18648361,Film life goes on,P364,What language is spoken in the film life goes on
Q312782,Bob Woodward,R40,who is the parent of bob woodward
Q2422991,Knight Lore,P136,what kind of game is knight lore
Q269585,Gregory La Cava,R57,what film does gregory la cava direct
Q2662148,Celtic rock,R136,what artist makes celtic rock
Q2883930,Barbara Cook,P19,What is the place of barbara cook birth
Q4346512,Claire Stansfield,P27,What is Claire Stansfield nationality
Q124112,Michel Simon,P509,What was the cause of death of michel simon
Q41548,Antonio Banderas,P27,What is the nationality of antonio banderas
Q2577628,Willy Wild,P27,which country is willi wild from
Q598834,Criciuma Esporte Clube,P641,What sport is criciuma esporte clube a part of
Q4680824,Adario Strange,P21,is adario strange male or female
Q559514,Wittlich,R19,Who is someone born in wittlich
Q12214,smallpox,R509,which historical figure was killed by smallpox
