entity_id,entity_label,relation_id,Question
Q126399,Warner Bros,R272,what movie is produced by warner bros
Q12439,Detroit,R19,who is a musician born in detroit
Q7370831,Q7370831,P162,who produced the film rough house rosie
Q6817891,Mera Shikar,P364,what is the language in which mera shikar was filmed in
Q1297,Chicago,R276,Whats the name of a battle that happened in chicago
Q193592,midfielder,R413,what player plays the position midfielder
Q19896779,Great Patriotic War,R607,which red army general was involved in the great patriotic war
Q6849115,Mike Twellman,P413,what is the position that  mike twellman plays
Q842256,musical film,R136,list some musical films
Q7273,Ellen Swallow Richards,P27,what is ellen swallow richards nationality
Q247643,Elementary,P364,What language is the show elementary broadcast in
Q6135854,James Hendry,P21,what is the gender of james hendry
Q4021138,Wyatt Earp Revenge,P136,what type a film is wyatt earps revenge
Q184622,Jean Genet,P738,who did jean genet influence
Q2405480,voice actor,R106,who was a voice actor
Q145410,1893 Jakoba,P196,What is a member of the 1893 jakoba asteroid group
Q4921907,Black Star at the Point of Darkness,P175,What artist includes black star at the point of darkness in his work
Q1698,Serge Gainsbourg,R175,Name an album by serge gainsbourg
Q237514,Laura Ingalls Wilder,R50,what is a book by laura ingalls wilder 
Q3738651,Fall Heads Roll,P136,What type of music fall heads roll
Q388408,Endless Love,P344,Who was the cinematographer for the film endless love
Q93204,documentary film,R136,what is a documentary film about the media
Q3643721,Brandon Reilly,P136,what musical genre does  brandon reilly create
Q7063408,Notre Dame Fighting Irish men basketball,P641,What sport does notre dame fighting irish men basketball play
Q707230,Kenneth Hsu,P27,What nationality is Kenneth Hsu
Q590103,psychological thriller,R136,whats an example of a psychological thriller
Q384243,Mama cumple cien anos,P136,what genre of film is mama turns 100 under
Q71277,Rudi Ball,P19,where in germany was rudi ball born in
Q2227506,Last Hurrah for Chivalry,P136,what netflix genre is last hurrah for chivalry
Q101625,Marrakesh,P421,what time zone is marrakech in
Q2321544,Wings of the Navy,P136,what kind of genre is wings of the navy
Q5667368,Harry Blackstone Jr,P27,which country does harry blackstone jr come from
Q25989,Central European Time,R421,What a place in central european time zone
Q734861,Valeria Richards,P21,what is valeria richards gender
Q55442,Liliana Cavani,R57,what movie did liliana cavani direct
Q3986646,The Dog Island,P136,What kind of video game is the dog island
Q590145,The Starter Wife,P136,what television genre is the starter wife
Q438503,alternative hip hop,R136,Who is an artist known for alternative hip hop
Q7749083,The Loves of the Gods,P170,who created the loves of the gods
Q36322,Jane Austen,R50,What did jane austen write
Q234472,Estella Warren,P27,What is the nationality of estella warren
Q1530721,National Film Board of Canada,R272,What is a film produced by the national film board of canada
Q43,Turkey,R17,what is a second level division of turkey
Q710600,Eugenio Sales,P21,what gender does eugenio sales identify as 
Q5327069,Earth Dreams,P364,what language was written in earth dreams
Q1297,Chicago,R19,Name a person born in chicago
